elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
1996,0,0,544,0,1,70,0,1,59,0,1,0
1236,0,1,38,0,1,37,0,1,233,0,1,48
1884,0,0,66,0,0,84,0,0,228,0,0,282
1975,1,1,31,0,1,9,0,0,88,0,0,138
1909,0,0,13,0,0,21,1,1,25,0,1,24
2066,1,1,0,1,1,13,1,1,51,1,1,22
1281,0,0,57,0,1,50,0,1,17,0,1,10
1531,1,1,2,0,1,0,1,1,0,0,0,1
2055,1,1,2,1,1,0,1,1,0,1,1,9
1690,1,1,85,0,1,143,1,1,0,0,1,0
1991,1,1,0,1,1,0,1,1,0,1,1,0
1655,0,1,405,0,0,456,0,1,517,0,1,531
1093,0,0,117,0,0,111,0,0,188,0,0,138
2167,0,1,68,0,0,495,0,0,86,0,0,112
1959,0,0,120,0,0,120,0,0,238,0,0,127
2345,1,1,0,1,1,25,1,1,21,1,1,0
1069,0,0,79,0,0,225,0,0,189,0,0,303
1652,0,1,18,0,1,18,0,1,0,0,1,20
1652,0,0,3164,0,0,3135,0,0,3241,0,0,3408
2106,1,1,0,1,1,0,1,1,3,1,1,0
1842,0,0,0,0,1,28,0,1,9,0,0,29
1687,1,1,0,1,1,0,1,1,0,1,1,5
832,0,0,73,0,0,77,0,0,72,0,1,35
2107,0,1,0,1,1,24,1,1,66,0,1,34
1696,0,1,1,0,1,23,0,1,10,1,1,9
1174,0,1,0,1,1,0,0,1,37,0,1,30
1410,1,1,0,1,1,20,1,1,1,0,1,18
968,0,0,0,1,1,9,1,1,19,0,0,4
2194,1,1,26,0,1,14,0,1,35,1,1,0
1895,0,0,60,1,1,44,0,1,26,1,1,21
1807,0,0,10,0,1,49,0,0,72,0,1,21
1020,0,0,19,0,1,10,0,0,93,0,1,20
1528,0,0,26,0,0,0,1,1,0,1,1,24
2399,0,0,147,0,0,44,0,0,15,0,0,33
1752,0,0,555,0,0,668,0,0,698,0,0,769
1844,0,1,71,0,1,72,1,1,0,1,1,0
1965,0,0,13,0,1,56,0,0,4,0,0,12
1437,1,1,0,1,1,6,1,1,0,0,1,0
1018,0,1,0,1,1,32,0,1,12,0,1,14
1163,0,0,0,1,1,22,1,1,0,1,1,8
1675,0,1,54,0,1,99,1,1,0,1,1,0
